,name,rating,reviews,field,employees,ctype,old,location
3365,Grupo Antolin,3.6,197,Auto Components , 1k-5k Employees , 73 years old , Burgos +15 more,
3366,Metro Retail.PVT.LTD.,3.7,197,Retail , 1k-5k Employees , 14 years old , Howrah +55 more,
3367,Yakult Danone India,3.7,197,Food Processing , 201-500 Employees , 18 years old , New Delhi +19 more,
3368,Technotask Business Solutions,3.3,197,BPO , 5k-10k Employees , Bhopal +8 more,,
3369,Stellantis,3.4,197,1k-5k Employees , Chennai +7 more,,,
3370,Themis Medicare,3.4,196,Pharma , 201-500 Employees , Public , 54 years old , Mumbai +29 more
3371,HyScaler,4.7,196,IT Services & Consulting , 51-200 Employees , 14 years old , Santa Clara +1 more,
3372,Bluestone.com,3.7,196,Jewellery , 501-1k Employees , Startup , 12 years old , Bangalore +33 more
3373,Sundaram Business Services,3.4,196,BPO , 501-1k Employees , 22 years old , Chennai +7 more,
3374,Oceaneering International,4.1,196,Engineering & Construction , 501-1k Employees , 59 years old , Houston +3 more,
3375,TVS Mobility,4.1,196,Automobile , 5k-10k Employees , Public , 112 years old , Madurai +52 more
3376,AIRBUS,3.7,196,Aviation , 5k-10k Employees , Public , 53 years old , Leiden +6 more
3377,ANZ Operations & Technology,4.3,196,Financial Services , 1k-5k Employees , 34 years old , Melbourne +3 more,
3378,Toshiba Transmission & Distribution Systems,3.9,196,Consumer Electronics & Appliances , 501-1k Employees , 129 years old , Hyderabad +18 more,
3379,Sterling Hospitals,4.0,196,Healthcare , 1k-5k Employees , Public , 22 years old , Ahmedabad +12 more
3380,Bluestone.com,3.7,196,Jewellery , 501-1k Employees , Startup , 12 years old , Bangalore +33 more
3381,S.c Johnson Products,4.0,196,Beauty & Personal Care , 501-1k Employees , 137 years old , Racine +43 more,
3382,FIGMD,3.2,196,IT Services & Consulting , 501-1k Employees , 13 years old , Rockford,
3383,ANZ Operations & Technology,4.3,196,Financial Services , 1k-5k Employees , 34 years old , Melbourne +3 more,
3384,Hero Electric,4.3,196,Automobile , 501-1k Employees , 16 years old , Gurgaon +27 more,
3385,Veeba Food Services,4.3,196,FMCG , 1k-5k Employees , 40 years old , Delhi +34 more,
3386,Sir Ganga Ram Hospital,4.2,195,Healthcare , 201-500 Employees , 69 years old , Delhi/NCR +11 more,
3387,VST Industries,4.2,195,FMCG , 501-1k Employees , Public , 93 years old , Hyderabad/Secunderabad +57 more
3388,Millennium Engineers & Contractors,3.9,195,Engineering & Construction , 11-50 Employees , 24 years old , Pune +10 more,
3389,British Biologicals,3.1,195,Pharma , 501-1k Employees , 35 years old , Bangalore/Bengaluru +36 more,
3390,Shaily Engineering Plastics,3.9,195,Industrial Machinery , 501-1k Employees , Public , 43 years old , Vadodara/Baroda +5 more
3391,Su-Kam Power Systems,4.1,195,Power , 501-1k Employees , 35 years old , Gurgaon/Gurugram +42 more,
3392,Indian Metals & Ferro Alloys,4.1,195,Iron & Steel , 1k-5k Employees , Public , 62 years old , Bhubaneswar +17 more
3393,Hays Business Solutions,3.9,195,Recruitment , 501-1k Employees , Public , 12 years old , Gurgaon +5 more
3394,Cremica Food Industries,4.0,195,Food Processing , 501-1k Employees , Public , 45 years old , Delhi/NCR +34 more
3395,The Indian Hume Pipe Co.,4.1,195,Building Material , 1k-5k Employees , Public , 97 years old , Mumbai +42 more
