,name,rating,reviews,field,employees,ctype,old,location
5158,IIFL SAMASTA,3.8,128,Bengaluru/Bangalore +70 more,,,,
5159,Jagsonpal Pharmaceuticals,3.6,128,Pharma , 1k-5k Employees , Public , 59 years old , Delhi/NCR +30 more
5160,Torque Pharmaceuticals,3.6,128,Pharma , 51-200 Employees , 38 years old , Chandigarh +22 more,
5161,Varite,3.7,128,IT Services & Consulting , 201-500 Employees , 23 years old , San Jose +7 more,
5162,Sagarsoft,4.6,127,IT Services & Consulting , 51-200 Employees , Public , 27 years old , Hyderabad/Secunderabad +2 more
5163,Franciscan Solutions,2.9,127,IT Services & Consulting , 501-1k Employees , 16 years old , Greater Noida +17 more,
5164,Gem Engserv,3.8,127,Engineering & Construction , 51-200 Employees , 14 years old , Navi Mumbai +13 more,
5165,Hanu Software Solutions,3.5,127,IT Services & Consulting , 1-10 Employees , 21 years old , Princeton +4 more,
5166,International Flavors & Fragrances,3.9,127,Chemicals , 1k-5k Employees , Forbes Global 2000 , 190 years old , New York +9 more
5167,Ganges Internationale,3.1,127,Power , 1k-5k Employees , 32 years old , Delhi/NCR +8 more,
5168,Jabong,4.2,127,Internet , 1k-5k Employees , 12 years old , Gurgaon +6 more,
5169,DQ Entertainment,3.5,127,Animation & VFX , 51-200 Employees , Public , 16 years old , Hyderabad/Secunderabad +2 more
5170,Isc Projects,4.1,127,Engineering & Construction , 51-200 Employees , 56 years old , Pune +17 more,
5171,Sugam Parivahan,3.8,127,Logistics , 201-500 Employees , 36 years old , New Delhi +32 more,
5172,Fulcrum Worldwide Software,4.1,127,IT Services & Consulting , 501-1k Employees , 24 years old , Jersey City +1 more,
5173,Amphenol Fci,3.6,127,Electrical Equipment , 501-1k Employees , 42 years old , Kochi +6 more,
5174,Altius Customer Services,3.6,127,BPO , 201-500 Employees , 20 years old , Mumbai +6 more,
5175,Praxis home Retail,4.1,127,Retail , 1k-5k Employees , Public , 16 years old , Mumbai +25 more
5176,BMW Industries,3.9,127,Iron & Steel , 501-1k Employees , Public , 53 years old , Kolkata +12 more
5177,Gapbridge Software Services,4.0,127,IT Services & Consulting , 51-200 Employees , 13 years old , Bengaluru +20 more,
5178,Mahavir Die Casters,3.6,127,Auto Components , 501-1k Employees , 32 years old , Faridabad  +4 more,
5179,Dream Plast India,3.1,127,Industrial Machinery , 201-500 Employees , 14 years old , Pune +4 more,
5180,TC Global,3.9,127,EdTech , 201-500 Employees , 28 years old , Delhi +17 more,
5181,Asianet Satellite Communications,4.1,127,Internet , 1k-5k Employees , 30 years old , Trivandrum/Thiruvananthapuram +21 more,
5182,Tecumseh Products,3.3,127,Industrial Machinery , 201-500 Employees , 89 years old , Ann Arbor +6 more,
5183,Intersoft Data Labs,3.7,127,IT Services & Consulting , 501-1k Employees , 20 years old , Columbia +3 more,
5184,Droom,3.8,127,Internet , 201-500 Employees , Indian Unicorn , 9 years old , Gurgaon +1 more
5185,Thomson Press India,4.1,127,Printing & Publishing , 201-500 Employees , 56 years old , Faridabad +9 more,
5186,Enaltec Labs,3.6,127,Pharma , 51-200 Employees , 17 years old , Navi Mumbai +5 more,
5187,Kriti Industries,4.0,127,Building Material , 501-1k Employees , 40 years old ,  Indore +25 more,
5188,Seco Tools,4.1,127,Metals & Mining , 201-500 Employees , 89 years old , Fagersta +5 more,
5189,Chembond Chemicals,3.7,127,Chemicals , 51-200 Employees , Public , 50 years old , Mumbai +18 more
5190,Chemie Tech,3.2,127,Oil & Gas , 51-200 Employees , 26 years old , Sharjah +15 more,
5191,Canny Brains,4.8,127,EdTech , 201-500 Employees , Dubai +6 more,,
5192,RT Network Solutions,3.7,127,IT Services & Consulting , 1k-5k Employees (Global) , 12 years old , Kolkata +25 more,
5193,Safeducate,4.2,127,Education & Training , 11-50 Employees , 16 years old , New Delhi +28 more,
5194,Electrical Maintenance,4.1,127,1-10 Employees , Chennai +45 more,,,
5195,BDO Rise,3.6,127,Accounting & Auditing , 501-1k Employees , Chicago +5 more,,
5196,Student Life,3.8,127,501-1k Employees , 5 years old , Kolkata +27 more,,
5197,CDM Smith,4.1,127,Engineering & Construction , 501-1k Employees , 76 years old , Boston +25 more,
5198,DCW,4.0,126,Chemicals , 1k-5k Employees , Public , 98 years old , Mumbai +9 more
5199,Swastik Infralogics Private Limited,4.3,126,Engineering & Construction , 1k-5k Employees , 20 years old , Navi Mumbai +11 more,
5200,STMicroelectronics,4.3,126,Semiconductors , 1k-5k Employees , Forbes Global 2000 , 36 years old , Geneva +3 more
5201,Givaudan,4.0,126,Beauty & Personal Care , 201-500 Employees , Forbes Global 2000 , 128 years old , Vernier +7 more
5202,Safran Engineering Services India,3.3,126,Aviation , 201-500 Employees , 22 years old , Blagnac +3 more,
5203,DCW,4.0,126,Chemicals , 1k-5k Employees , Public , 98 years old , Mumbai +9 more
5204,Swastik Infralogics Private Limited,4.3,126,Engineering & Construction , 1k-5k Employees , 20 years old , Navi Mumbai +11 more,
5205,Cheema Boilers,4.2,126,Industrial Machinery , 501-1k Employees , Public , 24 years old , Mohali +9 more
5206,Radix Electrosystems,3.6,126,Electronics Manufacturing , 201-500 Employees , 43 years old , Navi Mumbai +11 more,
5207,TLC Relationship Management,3.1,126,Hospitality , 501-1k Employees , 21 years old , Delhi/NCR +17 more,
5208,DDB Mudra Group,3.4,126,Marketing & Advertising , 1k-5k Employees , 43 years old , Mumbai +24 more,
5209,Ammann Apollo,4.3,126,Industrial Machinery , 1k-5k Employees , 26 years old , Mehsana +15 more,
5210,Verifone,3.8,126,FinTech , 501-1k Employees , 42 years old , Coral Springs +6 more,
5211,Cerium Systems,3.2,126,IT Services & Consulting , 1k-5k Employees , 10 years old , Bangalore +6 more,
5212,SEDER GROUP,4.1,126,Engineering & Construction , 10k-50k Employees (Global) , 42 years old , Riyadh +10 more,
5213,Aster MIMS,3.9,126,Healthcare , 1k-5k Employees , 23 years old , Kozhikode +15 more,
5214,Eros Group,4.2,126,Real Estate , 501-1k Employees , 56 years old , Delhi/NCR +10 more,
5215,Monginis Foods,3.6,126,Food Processing , 501-1k Employees , 63 years old , Mumbai +22 more,
5216,Sigma Freudenberg NOK,4.2,126,Auto Components , 1k-5k Employees , 23 years old , Milan +12 more,
5217,Ramoji Film City,4.2,126,Media & Entertainment , 1k-5k Employees , 27 years old , Hyderabad/Secunderabad +6 more,
5218,Vitromed Healthcare,3.9,126,Medical Equipment , 51-200 Employees , 51 years old , Jaipur +4 more,
5219,Foiwe Info Global Solution,3.8,126,IT Services & Consulting , 201-500 Employees , 13 years old , Bangalore/Bengaluru +3 more,
5220,Eros Group,4.2,126,Real Estate , 501-1k Employees , 56 years old , Delhi/NCR +10 more,
5221,Givaudan,4.0,126,Beauty & Personal Care , 201-500 Employees , Forbes Global 2000 , 128 years old , Vernier +7 more
5222,Ramoji Film City,4.2,126,Media & Entertainment , 1k-5k Employees , 27 years old , Hyderabad/Secunderabad +6 more,
5223,Aster MIMS,3.9,126,Healthcare , 1k-5k Employees , 23 years old , Kozhikode +15 more,
5224,TLC Relationship Management,3.1,126,Hospitality , 501-1k Employees , 21 years old , Delhi/NCR +17 more,
5225,Ammann Apollo,4.3,126,Industrial Machinery , 1k-5k Employees , 26 years old , Mehsana +15 more,
5226,Intelux Electronics,3.9,126,Electronics Manufacturing , 201-500 Employees , 27 years old , Pune +11 more,
5227,Any Brand,4.0,126,Fashion & Textile , 1-10 Employees , New Delhi +35 more,,
5228,Hiranandani group,4.3,126,Real Estate , 1k-5k Employees , 45 years old , Mumbai +14 more,
5229,LIXIL,4.1,126,Building Material , 201-500 Employees , Public , 16 years old , Koto-ku +26 more
5230,Link Group,3.8,126,Financial Services , 51-200 Employees , Mumbai +5 more,,
5231,VISTRA INTERNATIONAL EXPANSION,3.7,126,Other , 501-1k Employees , 31 years old , Boston +2 more,
5232,U.S. Polo Assn,4.5,125,Retail , 51-200 Employees , 133 years old , Los Angeles +41 more,
5233,Crescent Foundry,3.8,125,Metals & Mining , 501-1k Employees , 41 years old , Kolkata +7 more,
5234,Sahajanand Medical Technologies,3.6,125,Medical Equipment , 501-1k Employees , 25 years old , Surat +24 more,
5235,Ginger Hotels,4.2,125,Hospitality , 501-1k Employees , 20 years old , Mumbai +31 more,
5236,InnoEye Technologies,3.3,125,IT Services & Consulting , 501-1k Employees , 11 years old , Indore +1 more,
5237,Suven Life Sciences,3.9,125,Pharma , 51-200 Employees , Public , 34 years old , Hyderabad/Secunderabad +6 more
5238,Elevate Services,3.2,125,Legal , 501-1k Employees , 12 years old , Los Angeles +3 more,
5239,Digient Technologies,4.7,125,IT Services & Consulting , 51-200 Employees , 16 years old , Chennai +1 more,
5240,Syscom Corporation,4.0,125,IT Services & Consulting , 1k-5k Employees (Global) , 27 years old , Noida +5 more,
5241,Fragomen Immigration Services,4.1,125,Travel & Tourism , 51-200 Employees , 72 years old , Kochi +6 more,
5242,Neosym Industry,3.6,125,Auto Components , 501-1k Employees , 91 years old , Pune +7 more,
5243,DAEWOO E&C,4.6,125,Engineering & Construction , 5k-10k Employees (Global) , Public , 50 years old , Patna +12 more
5244,IL&FS Technologies,3.9,125,Engineering & Construction , 201-500 Employees , Public , 90 years old , Jaipur +34 more
5245,Pps Motors,3.9,125,Automobile , 51-200 Employees , 12 years old , Hyderabad/Secunderabad +22 more,
5246,Atidan Technologies,4.2,125,IT Services & Consulting , 51-200 Employees , 18 years old , Mumbai +5 more,
5247,Elevate Services,3.2,125,Legal , 501-1k Employees , 12 years old , Gurgaon/Gurugram +3 more,
5248,Olive Bar & Kitchen,4.3,125,Hospitality , 201-500 Employees , 23 years old , Mumbai +13 more,
5249,Aagna Global Solutions,3.5,125,BPO , 201-500 Employees (Global) , 9 years old , Chennai +4 more,
5250,Sahajanand Medical Technologies,3.6,125,Medical Equipment , 501-1k Employees , 25 years old , Jaipur +24 more,
5251,Crescent Foundry,3.8,125,Metals & Mining , 501-1k Employees , 41 years old , Kolkata +7 more,
5252,Ginger Hotels,4.2,125,Hospitality , 501-1k Employees , 20 years old , Jaipur +31 more,
5253,InnoEye Technologies,3.3,125,IT Services & Consulting , 501-1k Employees , 11 years old , Indore +1 more,
5254,Rorito International,4.3,125,Other , 501-1k Employees , 28 years old , Jaipur +27 more,
5255,NDS InfoServ,4.5,125,BPO , 201-500 Employees , 23 years old , Mumbai +6 more,
5256,Brandix India Apparel City,3.8,125,Fashion & Textile , 51-200 Employees , 54 years old , Visakhapatnam +3 more,
5257,Horiba India,3.5,125,201-500 Employees , 70 years old , New Delhi +14 more,,
5258,Sulphur Mills,3.9,125,Agro Chemicals , 201-500 Employees , Public , 63 years old , Jaipur +20 more
5259,Beumer Group,4.0,125,Industrial Machinery , 201-500 Employees , 88 years old , Gurgaon/Gurugram +11 more,
5260,Pps Motors,3.9,125,Automobile , 51-200 Employees , 12 years old , Hyderabad +22 more,
5261,Club Oxygen,4.3,125,Hospitality , 201-500 Employees , Public , 5 years old , Mumbai +24 more
5262,Mfine,3.7,125,Internet , 201-500 Employees , Startup , 6 years old , Bangalore +8 more
5263,Atidan Technologies,4.2,125,IT Services & Consulting , 51-200 Employees , 18 years old , Mumbai +5 more,
5264,Watchyourhealth.com,4.7,125,Emerging Technologies , 201-500 Employees , 8 years old , Thane +1 more,
5265,Girnar Care,3.4,125,BPO , 1k-5k Employees , Jaipur +16 more,,
5266,Protean eGov Technologies,3.7,125,Mumbai +8 more,,,,
5267,CL Educate,3.7,125,Education & Training , 501-1k Employees , Public , 27 years old , Delhi/NCR +22 more
5268,Atidiv,3.1,125,IT Services & Consulting , 201-500 Employees , 14 years old , Pune,
5269,Crown Solutions,3.3,125,IT Services & Consulting , 201-500 Employees , 21 years old , Chennai +8 more,
5270,HealthSpring,3.4,124,Fitness & Wellness , 201-500 Employees , 13 years old , Mumbai +20 more,
5271,Mafatlal Industries,4.1,124,1k-5k Employees , Public , 110 years old , Mumbai +9 more,
5272,Autoline Industries,3.8,124,Auto Components , 1k-5k Employees , Public , 20 years old , Pune +11 more
5273,Impressions Services,4.2,124,Facility Management Services , 51-200 Employees , 29 years old , Gurgaon/Gurugram +11 more,
5274,Virinchi Technologies,3.6,124,IT Services & Consulting , 1k-5k Employees , 32 years old , Edison +4 more,
5275,Ambey Mining,3.4,124,Metals & Mining , 1k-5k Employees , 18 years old , Kolkata +9 more,
5276,Vijay Tanks & Vessels,4.1,124,Engineering & Construction , 1k-5k Employees , 67 years old , Sankarda +8 more,
5277,LinkedIn,4.4,124,Internet , 1k-5k Employees , 20 years old , Sunnyvale +6 more,
5278,Pittie Group,3.2,124,Real Estate , 51-200 Employees , 32 years old , Mumbai +25 more,
5279,Sadara Chemical Company,4.5,124,Chemicals , 201-500 Employees , 12 years old , Jubail +4 more,
5280,Coastal Marine Construction & Engineering,4.2,124,Engineering & Construction , 501-1k Employees , 28 years old , Mira Bhayander +17 more,
5281,Wicked Ride Adventures,4.0,124,Internet , 51-200 Employees , Startup , 9 years old , Bangalore +8 more
5282,Ksk Energy Ventures,4.1,124,Oil & Gas , 1k-5k Employees , Public , 22 years old , Hyderabad/Secunderabad +12 more
5283,Miraj Cinemas,3.9,124,Media & Entertainment , 11-50 Employees , 15 years old , Mumbai +34 more,
5284,Health Insurance TPA of India,3.9,124,Insurance , 51-200 Employees , 10 years old , Noida +10 more,
5285,Peninsula Land,3.7,124,Real Estate , 501-1k Employees , Public , 26 years old , Mumbai +7 more
5286,The Oriental Insurance Co.,4.5,124,Insurance , 10k-50k Employees , Central , 76 years old , Mumbai +51 more
5287,Vishay Precision Transducers,3.9,124,Semiconductors , 1k-5k Employees , Public , 13 years old , Basingstoke +5 more
5288,Smart Drive Systems,3.3,124,IT Services & Consulting , 201-500 Employees , 19 years old , San Diego +2 more,
5289,Skandhanshi Infra Projects,4.2,124,Real Estate , 501-1k Employees , 15 years old , Kurnool +7 more,
5290,Repro India,3.8,124,FMCG , 501-1k Employees , Public , 39 years old , Mumbai +11 more
5291,ING Vysya Bank,4.4,124,Banking , 5k-10k Employees , Public , 21 years old , Mumbai +41 more
5292,Coverfox,3.4,124,Insurance , 201-500 Employees , 10 years old , Mumbai +8 more,
5293,United Nations Development Programme,4.3,124,Non-Profit , 201-500 Employees , Public , 58 years old , New York +38 more
5294,Kantar Operations,3.5,124,Analytics & KPO , 5k-10k Employees , 30 years old , London +17 more,
5295,Sowparnika,3.3,124,Real Estate , 51-200 Employees , 20 years old , Bangalore/Bengaluru +9 more,
5296,Interface Microsystems,3.8,124,Auto Components , 51-200 Employees , 39 years old , Gurgaon/Gurugram +7 more,
5297,Oxigen Services,3.9,124,FinTech , 51-200 Employees , 19 years old , Gurgaon +24 more,
5298,Mahindra Two Wheelers,4.3,124,Automobile , 501-1k Employees , Public , 15 years old , Pune +38 more
5299,Fabtech Projects & Engineers,4.0,124,Engineering & Construction , 201-500 Employees , 31 years old , Pune +11 more,
5300,Tata Sikorsky Aerospace,3.9,124,Defence & Aerospace , 201-500 Employees , 15 years old , Hyderabad +2 more,
5301,Navitas Life Sciences,3.8,124,IT Services & Consulting , 201-500 Employees , 22 years old , Princeton +5 more,
5302,Health Insurance TPA of India,3.9,124,Insurance , 51-200 Employees , 10 years old , Noida +10 more,
5303,Setindiabiz Private Limited,4.4,124,Legal , 51-200 Employees , 8 years old , Noida +4 more,
5304,VFI SLK Global Services,4.0,124,Financial Services , 1k-5k Employees , 4 years old , Bangalore/Bengaluru +6 more,
5305,DotPe,3.1,124,IT Services & Consulting , 201-500 Employees , Startup , 4 years old , Gurgaon +11 more
5306,Miraj Cinemas,3.9,124,Media & Entertainment , 11-50 Employees , 15 years old , Mumbai +34 more,
5307,Vishay Precision Transducers,3.9,124,Semiconductors , 1k-5k Employees , Public , 13 years old , Basingstoke +5 more
5308,Skandhanshi Infra Projects,4.2,124,Real Estate , 501-1k Employees , 15 years old , Kurnool +7 more,
5309,Motilal Oswal Home Finance,4.1,124,Mumbai +55 more,,,,
5310,Calpion Software Technologies,3.4,124,IT Services & Consulting , 201-500 Employees , 19 years old , Dallas +3 more,
5311,ABC Bearings,3.9,123,Auto Components , 201-500 Employees , Public , 62 years old , Mumbai +21 more
5312,FSS,3.3,123,Internet , 1k-5k Employees , 32 years old , Chennai +13 more,
5313,Government Medical College,4.2,123,Education & Training , 1k-5k Employees , State , Kottayam +47 more,
5314,Carwale,3.7,123,Internet , 501-1k Employees , 18 years old , Mumbai +15 more,
5315,Vectone Mobile,2.7,123,Telecom , 51-200 Employees , 26 years old , London +2 more,
5316,Ramee Group of Hotels,3.4,123,Hospitality , 51-200 Employees , 38 years old , Dubai +11 more,
5317,GGK Technologies,3.6,123,IT Services & Consulting , 1k-5k Employees , 19 years old , Duluth +2 more,
5318,Algoworks Technologies,3.7,123,IT Services & Consulting , 501-1k Employees , 17 years old , Noida +2 more,
5319,SeQuent Scientific,3.4,123,Pharma , 501-1k Employees , Public , 38 years old , Mumbai +10 more
5320,Shimizu,3.9,123,Engineering & Construction , 51-200 Employees , Forbes Global 2000 , 219 years old , Chuo-ku +13 more
5321,FreshMenu,3.3,123,Internet , 201-500 Employees , Startup , 9 years old , Bangalore +6 more
5322,Appcino Technologies,3.9,123,IT Services & Consulting , 201-500 Employees , 10 years old , Jaipur +12 more,
5323,BookMyShow,4.2,123,Internet , 501-1k Employees , 24 years old , Mumbai +13 more,
5324,Sneha Farms,4.0,123,Agriculture , 501-1k Employees (Global) , 41 years old , Hyderabad +9 more,
5325,The Millennium School,3.9,123,Education & Training , 11-50 Employees , 9 years old , Gurgaon/Gurugram +24 more,
5326,Kama Ayurveda,4.0,123,Beauty & Personal Care , 201-500 Employees , 21 years old , Noida +20 more,
5327,Carnival Group,3.5,123,Media & Entertainment , 51-200 Employees , Conglomerate , 16 years old , Mumbai +34 more
5328,Quality Council of India,3.7,123,Government , 51-200 Employees , Public , 26 years old , Delhi/NCR +8 more
5329,Nyx-medical Solutions,4.2,123,Healthcare , 51-200 Employees , Bengaluru/Bangalore +2 more,,
5330,Americana Group,3.7,123,Food Processing , 50k-1 Lakh Employees (Global) , 59 years old , Kuwait City +14 more,
5331,Dr.SNS Rajalakshmi College Of Arts and Science,4.9,123,Education & Training , 201-500 Employees , Coimbatore,,
5332,Ga Digital Web Word,3.6,123,IT Services & Consulting , 201-500 Employees , 20 years old , Ghaziabad +29 more,
5333,Merit Software Services,3.7,123,EdTech , 51-200 Employees , 19 years old , London +3 more,
5334,Vectone Mobile,2.7,123,Telecom , 51-200 Employees , 26 years old , London +2 more,
5335,Pinnacle Industries,3.9,123,Auto Components , 501-1k Employees , 27 years old , Pithampur +10 more,
5336,Net Access India,3.8,123,IT Services & Consulting , 201-500 Employees , Public , 26 years old , Chennai +21 more
5337,Dynamatic Technologies,3.7,123,Auto Components , 1k-5k Employees , Public , 50 years old , Bangalore/Bengaluru +8 more
5338,Swal Corporation,4.2,123,Agro Chemicals , 11-50 Employees , 44 years old , Mumbai +48 more,
5339,Ankur Seeds,4.2,123,Agriculture , 1k-5k Employees , 47 years old , Nagpur +26 more,
5340,Oakridge International School,4.0,123,Education & Training , 51-200 Employees , 12 years old , Hyderabad/Secunderabad +9 more,
5341,Government Medical College,4.2,123,Education & Training , 1k-5k Employees , State , Kottayam +47 more,
5342,Prestige Estates Projects,4.5,123,Real Estate , 1k-5k Employees , Public , 37 years old , Bangalore/Bengaluru +7 more
5343,SurePrep,3.7,123,Software Product , 51-200 Employees , 21 years old , Irvine +3 more,
5344,Algoworks Technologies,3.7,123,IT Services & Consulting , 501-1k Employees , 17 years old , Noida +2 more,
5345,RateGain,3.7,123,IT Services & Consulting , 201-500 Employees , 19 years old , London +3 more,
5346,OM Careers,3.0,123,Recruitment , 11-50 Employees , 15 years old , Ludhiana +2 more,
5347,ABC Bearings,3.9,123,Auto Components , 201-500 Employees , Public , 62 years old , Mumbai +21 more
5348,Bombay Hospital,3.8,123,Healthcare , 501-1k Employees , 71 years old , Mumbai +5 more,
5349,Border Roads Organisation,4.0,123,Engineering & Construction , 5k-10k Employees , Public , 63 years old , New Delhi +18 more
5350,Target Engineering Construction Company,3.9,123,Engineering & Construction , 10k-50k Employees , 48 years old , Abu Dhabi +11 more,
5351,Crest Data Systems,3.5,123,IT Services & Consulting , 501-1k Employees , 10 years old , San Jose +1 more,
5352,Fortune Integrated Assets Finance,3.9,123,Financial Services , 51-200 Employees , 11 years old , Mumbai +59 more,
5353,Ocrolus East,3.5,123,FinTech , 201-500 Employees , Startup , 9 years old , New York City +5 more
5354,American Oncology Institute,4.1,123,Healthcare , 1-10 Employees , 11 years old , Pittsburgh +16 more,
5355,Umlaut,3.5,123,Management Consulting , 501-1k Employees , 27 years old , Aachen +5 more,
5356,Nippon Konpo,4.0,123,Logistics , 51-200 Employees , 12 years old , Gurugram +8 more,
5357,Vakilsearch,3.5,123,Legal , 51-200 Employees , Startup , 11 years old , Chennai +9 more
5358,IG Petrochemicals,3.7,122,Chemicals , 1k-5k Employees , Public , 35 years old , Mumbai +11 more
5359,Gujarat State Electricity Corporation,4.2,122,Government , 5k-10k Employees , State , 30 years old , Vadodara +15 more
5360,Stedman Pharmaceuticals,4.3,122,Pharma , 201-500 Employees , 32 years old , Chennai +25 more,
5361,Spectrum Consultants,3.5,122,Recruitment , 51-200 Employees , 28 years old , Bangalore +9 more,
5362,InMobi,3.9,122,Marketing & Advertising , 1k-5k Employees , Indian Unicorn , 16 years old , San Francisco +4 more
5363,Connect Broadband,4.1,122,Telecom , 11-50 Employees , Public , 77 years old , Ajitgarh +15 more
5364,PG Electroplast,3.8,122,Consumer Electronics & Appliances , 501-1k Employees , Public , 46 years old , Noida +13 more
5365,DESIGNCO,4.0,122,Import & Export , 51-200 Employees , 18 years old , Moradabad +5 more,
5366,Garden Reach Shipbuilders & Engineers,3.8,122,Ports & Shipping , 1k-5k Employees , Central , 89 years old , Kolkata +4 more
5367,"Sanjay Ghodawat International School, Kolhapur",2.8,122,Education & Training , 201-500 Employees , 13 years old , Kolhapur +9 more,
5368,Tata Strive Skill Development Centre,3.5,122,Education & Training , 501-1k Employees , 8 years old , Mumbai +33 more,
5369,ILS Hospitals,3.8,122,Healthcare , 501-1k Employees (Global) , 23 years old , Kolkata +4 more,
5370,Wibmo,3.1,122,FinTech , 51-200 Employees , 24 years old , Bangalore +3 more,
5371,Linc,3.7,122,FMCG , 1k-5k Employees , Public , 47 years old , Kolkata +20 more
5372,Qube Cinema Technologies,4.1,122,Media & Entertainment , 501-1k Employees , 19 years old , Chennai +8 more,
5373,Ramky Group,4.3,122,Engineering & Construction , 1k-5k Employees , 29 years old , Issy-les-moulineaux +28 more,
5374,Norwegian Cruise Line,4.5,122,Travel & Tourism , 501-1k Employees , 57 years old , Miami +10 more,
5375,Bharat Benz,4.0,122,Automobile , 1k-5k Employees , 12 years old , Chennai +55 more,
5376,Centelon,4.4,122,IT Services & Consulting , 201-500 Employees , 7 years old , Melbourne +6 more,
5377,Ford Motor Credit Company,4.2,122,Financial Services , 10k-50k Employees , 64 years old , Dearborn +13 more,
5378,Elofic Industries,3.9,122,Auto Components , 201-500 Employees , 72 years old , Faridabad +11 more,
5379,Suhail Bahwan Automobiles,4.1,122,Auto Components , 10k-50k Employees , 19 years old , Muscat +7 more,
5380,Alp Consulting,3.5,122,Recruitment , 201-500 Employees , Public , 27 years old , Bengaluru/Bangalore +13 more
5381,Veolia,4.0,122,Waste Management , 51-200 Employees , 23 years old , Noida +30 more,
5382,Optimus Drugs,4.0,122,Pharma , 201-500 Employees , 19 years old , Hyderabad +5 more,
5383,Virtuoso,3.8,122,201-500 Employees , 7 years old , Pune +3 more,,
5384,Toto India Industries,4.2,122,Building Material , 51-200 Employees , 12 years old , Mumbai +11 more,
5385,Parason Machinery,3.8,122,Industrial Machinery , 201-500 Employees , 46 years old , Aurangabad +3 more,
5386,Maxi Multiservices,2.9,122,FinTech , 201-500 Employees (Global) , 8 years old , Lucknow +35 more,
5387,Poonawalla Finance,3.7,122,NBFC , 51-200 Employees , 38 years old , Pune +60 more,
5388,BIC Contracting,4.5,122,Engineering & Construction , 1k-5k Employees , Dubai +8 more,,
5389,Pontika Aerotech,3.8,122,Clinical Research , 51-200 Employees , Public , 6 years old , Sirmour +3 more
5390,OneClick IT Consultancy,4.7,122,IT Services & Consulting , 51-200 Employees , 11 years old , Ahmedabad +2 more,
5391,Trane Technologies,4.3,122,Engineering & Construction , 1k-5k Employees , Forbes Global 2000 , 152 years old , Davidson +11 more
5392,PaywithRING,4.7,122,FinTech , 501-1k Employees , 1 years old , Mumbai +12 more,
5393,Patra India,3.6,122,Visakhapatnam +8 more,,,,
5394,Kumar Organic Products,3.7,122,Chemicals , 201-500 Employees , 32 years old , Bangalore +7 more,
5395,NIMT,4.5,122,Education & Training , 51-200 Employees (Global) , 31 years old , Ghaziabad +5 more,
5396,Bharat Broadband Network,4.1,121,Telecom , 51-200 Employees (Global) , Central , New Delhi +51 more,
5397,Sterling Biotech,4.1,121,Pharma , 501-1k Employees , Public , 38 years old , Mumbai +2 more
5398,Educational Initiatives,4.0,121,EdTech , 201-500 Employees , 22 years old , Ahmedabad +21 more,
5399,VWR International,3.6,121,Pharma , 51-200 Employees , 171 years old , Radnor +2 more,
5400,Kopran,3.5,121,Pharma , 501-1k Employees , Public , 65 years old , Navi Mumbai +12 more
5401,Fuji Electric,3.9,121,Industrial Machinery , 1k-5k Employees , 100 years old , Navi Mumbai +18 more,
5402,John Energy,3.9,121,Oil & Gas , 1k-5k Employees , 36 years old , Navi Mumbai +9 more,
5403,Xome,4.2,121,Internet , 201-500 Employees , Startup , 11 years old , Chennai +4 more
5404,TEOCO Software,3.8,121,Software Product , 201-500 Employees , 29 years old , Kolkata +6 more,
5405,First Abu Dhabi Bank,3.0,121,Banking , 201-500 Employees , Public , 6 years old , Abu Dhabi +6 more
5406,LOTS Wholesale Solutions,3.4,121,Food Processing , 501-1k Employees , 6 years old , Gurgaon/Gurugram +3 more,
5407,Oswal Castings,3.8,121,Metals & Mining , 51-200 Employees , 18 years old , Faridabad +4 more,
5408,Vanesa Care,4.0,121,Beauty & Personal Care , 501-1k Employees , 40 years old , New Delhi +27 more,
5409,Capri Global Housing Finance,3.4,121,Financial Services , 10k-50k Employees , 26 years old , Mumbai +51 more,
5410,University of Engineering and Management,3.9,121,Education & Training , 201-500 Employees , 9 years old , Gurgaon/Gurugram +16 more,
5411,Psychotropics India,4.2,121,Pharma , 201-500 Employees , Public , 36 years old , Haridwar +6 more
5412,Viztar International,3.4,121,Education & Training , 501-1k Employees , 16 years old , Navi Mumbai +15 more,
5413,Siemens PLM Software,4.2,121,Industrial Automation , 1k-5k Employees , 26 years old , Pune +5 more,
5414,Tata Memorial Hospital,4.3,121,Healthcare , 1k-5k Employees , 82 years old , Navi Mumbai +5 more,
5415,World Health Organization,4.2,121,Government , 1k-5k Employees , 75 years old , Navi Mumbai +55 more,
5416,Pharmed,4.3,121,Pharma , 1k-5k Employees , Public , 77 years old , Bengaluru/Bangalore +27 more
5417,GCMMF,4.0,121,77 years old , New Delhi +40 more,,,
5418,Rossari Biotech,3.8,121,Chemicals , 51-200 Employees , 26 years old , Navi Mumbai +11 more,
5419,S.M. Consultants,3.8,121,Management Consulting , 51-200 Employees , 24 years old , Bhubaneswar +16 more,
5420,Orient Paper Mill,3.4,121,Pulp & Paper , 1k-5k Employees , 84 years old , Kolkata +11 more,
5421,Ujaas Energy,3.7,121,Power , 201-500 Employees , Public , 44 years old , Indore +15 more
5422,Dew Solutions,4.1,121,IT Services & Consulting , 201-500 Employees , 13 years old , Gurgaon +5 more,
5423,Manappuram Home Finance,3.7,121,Financial Services , 201-500 Employees , 13 years old , Mumbai +39 more,
5424,UL Solutions,4.2,121,Other , 501-1k Employees , 129 years old , Northbrook +6 more,
